season,week,rows,completed,with_odds,with_elo,with_ap_rank
2017,1,131,131,130,86,0
2017,2,71,71,71,71,23
2017,3,65,65,65,65,21
2017,4,59,59,59,59,21
2017,5,54,54,54,54,18
2017,6,58,58,58,58,20
2017,7,59,59,59,59,21
2017,8,56,56,56,56,16
2017,9,56,56,56,56,19
2017,10,61,61,61,61,18
2017,11,60,60,60,60,17
2017,12,65,65,65,65,23
2017,13,62,62,62,62,18
2017,14,16,16,16,16,7
2017,15,1,1,1,1,0
2018,1,127,127,123,85,0
2018,2,78,78,72,77,33
2018,3,66,66,62,66,18
2018,4,62,62,61,62,22
2018,5,58,58,58,58,21
2018,6,56,56,56,56,19
2018,7,55,55,55,55,16
2018,8,55,55,55,55,15
2018,9,56,56,56,56,17
2018,10,62,62,62,62,20
2018,11,62,62,62,62,23
2018,12,66,66,66,66,22
2018,13,64,64,64,64,20
2018,14,16,16,16,16,8
2018,15,1,1,1,1,1
2019,1,125,125,124,86,0
2019,2,74,74,73,74,26
2019,3,68,68,67,68,21
2019,4,58,58,58,58,17
2019,5,55,55,55,55,17
2019,6,48,48,48,48,15
2019,7,53,53,53,53,16
2019,8,62,62,61,62,22
2019,9,55,55,55,55,16
2019,10,48,48,48,48,13
2019,11,48,48,48,48,17
2019,12,55,55,53,55,19
2019,13,64,64,63,64,19
2019,14,64,64,64,64,19
2019,15,11,11,11,11,9
2020,1,35,35,35,31,0
2020,2,20,20,20,14,8
2020,3,21,21,20,19,0
2020,4,30,30,30,30,18
2020,5,33,33,32,32,18
2020,6,29,29,29,29,12
2020,7,28,28,28,28,12
2020,8,47,47,46,47,16
2020,9,43,43,43,43,18
2020,10,49,49,49,49,18
2020,11,45,45,45,45,12
2020,12,44,44,44,44,14
2020,13,44,44,44,44,14
2020,14,46,46,46,46,19
2020,15,37,37,37,37,10
2020,16,19,19,19,19,9
2021,1,127,127,127,88,0
2021,2,82,82,82,82,34
2021,3,73,73,73,73,22
2021,4,67,67,67,67,21
2021,5,61,61,61,61,20
2021,6,51,51,51,51,16
2021,7,52,52,52,52,15
2021,8,54,54,54,54,18
2021,9,53,53,53,53,19
2021,10,61,61,61,61,23
2021,11,63,63,63,63,21
2021,12,66,66,66,66,24
2021,13,65,65,65,65,23
2021,14,11,11,11,11,9
2021,15,1,1,1,1,0
2022,1,136,136,135,136,0
2022,2,82,82,81,82,34
2022,3,72,72,71,72,24
2022,4,66,66,66,66,21
2022,5,63,63,63,63,19
2022,6,57,57,57,57,20
2022,7,53,53,53,53,13
2022,8,53,53,53,53,13
2022,9,48,48,48,48,17
2022,10,60,60,60,60,21
2022,11,65,65,65,65,22
2022,12,65,65,64,65,22
2022,13,63,63,63,63,21
2022,14,12,12,12,12,7
2022,15,1,1,1,1,0
2023,1,136,136,136,136,0
2023,2,85,85,85,85,29
2023,3,75,75,75,75,24
2023,4,67,67,66,67,19
2023,5,59,59,58,59,15
2023,6,51,51,51,51,17
2023,7,55,55,55,55,18
2023,8,54,54,54,54,14
2023,9,54,54,54,54,18
2023,10,65,65,65,65,22
2023,11,65,65,65,65,19
2023,12,68,68,67,68,22
2023,13,65,65,65,65,23
2023,14,10,10,10,10,8
2023,15,1,1,1,1,0
2024,1,146,146,131,146,0
2024,2,78,78,78,78,31
2024,3,63,63,63,63,19
2024,4,64,64,64,64,18
2024,5,56,55,55,56,19
2024,6,49,49,49,49,16
2024,7,52,52,52,52,18
2024,8,59,59,59,59,17
2024,9,57,57,57,57,16
2024,10,49,49,49,49,17
2024,11,50,50,50,50,19
2024,12,55,55,55,55,18
2024,13,65,65,65,65,21
2024,14,67,67,67,67,23
2024,15,9,9,9,9,6
2024,16,1,1,1,1,1
2025,1,142,142,142,141,0
2025,2,83,83,83,83,33
2025,3,70,70,70,70,21
2025,4,62,62,62,62,15
2025,5,53,53,53,53,15
2025,6,51,51,51,51,15
2025,7,56,56,56,56,18
2025,8,60,60,60,60,19
2025,9,53,53,53,53,17
2025,10,52,52,52,52,16
2025,11,52,52,52,52,16
2025,12,59,59,59,59,22
2025,13,64,64,64,64,18
2025,14,67,67,67,67,21
2025,15,9,9,9,9,6
2025,16,1,1,1,1,1
