variant,anomalous_season,view,retrain,n,status,reason,delta_log_loss,delta_brier,log_loss,brier,accuracy,delta_accuracy,mode
single__home_field_advantage,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__is_week_1,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__is_weeks_1_3,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_conference,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_conference,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_classification,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_classification,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_entering_wins,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_entering_losses,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_entering_wins,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_entering_losses,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_previous_result,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_previous_result,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_sos,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_sos,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__home_days_rest,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__away_days_rest,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__spread_home,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__total,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
single__line_provider_count,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
family__site_temporal,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
family__history,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
family__market_context,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
combined,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
lof__without_site_temporal,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
lof__without_history,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
lof__without_market_context,2020,season_sensitivity,False,0,not_available,no_held_out_predictions_for_anomalous_season,,,,,,,not_evaluated
