variant,scope,n,eps,a,b,a_ideal,b_ideal,status,reason,nit
single__home_field_advantage,aggregate,3195,1e-06,0.041370184944336835,1.035033781400011,0.0,1.0,ok,,4
single__is_week_1,aggregate,3195,1e-06,0.04114451869541844,1.0353677104225054,0.0,1.0,ok,,4
single__is_weeks_1_3,aggregate,3195,1e-06,0.040510034414502745,1.0360055360090439,0.0,1.0,ok,,4
single__home_conference,aggregate,3195,1e-06,0.04033183255738674,1.035513065154378,0.0,1.0,ok,,4
single__away_conference,aggregate,3195,1e-06,0.040698412340950764,1.0356573667846556,0.0,1.0,ok,,4
single__home_classification,aggregate,3195,1e-06,0.04082470817195724,1.035698798626378,0.0,1.0,ok,,4
single__away_classification,aggregate,3195,1e-06,0.04080999099757711,1.0356774717648414,0.0,1.0,ok,,4
single__home_entering_wins,aggregate,3195,1e-06,0.04083100912836759,1.0343313646378502,0.0,1.0,ok,,4
single__home_entering_losses,aggregate,3195,1e-06,0.04222405586129548,1.0323553869159106,0.0,1.0,ok,,4
single__away_entering_wins,aggregate,3195,1e-06,0.04137643032610709,1.034552443977064,0.0,1.0,ok,,4
single__away_entering_losses,aggregate,3195,1e-06,0.040794752079238716,1.0353603158916225,0.0,1.0,ok,,4
single__home_previous_result,aggregate,3195,1e-06,0.04132251853397657,1.0343866592603703,0.0,1.0,ok,,4
single__away_previous_result,aggregate,3195,1e-06,0.04084423409412789,1.0354929836984959,0.0,1.0,ok,,4
single__home_sos,aggregate,3195,1e-06,0.04033620097670277,1.0352765621477595,0.0,1.0,ok,,4
single__away_sos,aggregate,3195,1e-06,0.04070312679873823,1.0357144578644522,0.0,1.0,ok,,4
single__home_days_rest,aggregate,3195,1e-06,0.04143097049585439,1.0350471820293536,0.0,1.0,ok,,4
single__away_days_rest,aggregate,3195,1e-06,0.04156195994312186,1.0350668304867499,0.0,1.0,ok,,4
single__spread_home,aggregate,3195,1e-06,0.043030296844669094,1.0291716320212287,0.0,1.0,ok,,4
single__total,aggregate,3195,1e-06,0.04401600835523668,1.0356224177385014,0.0,1.0,ok,,4
single__line_provider_count,aggregate,3195,1e-06,0.03291723966190557,1.0355550927146067,0.0,1.0,ok,,4
family__site_temporal,aggregate,3195,1e-06,0.04073365085689028,1.0346916688458483,0.0,1.0,ok,,4
family__history,aggregate,3195,1e-06,0.04348459322634673,1.0270244676334177,0.0,1.0,ok,,4
family__market_context,aggregate,3195,1e-06,0.03809311753037455,1.0289990145368997,0.0,1.0,ok,,4
combined,aggregate,3195,1e-06,0.03892468682138268,1.0205642728257283,0.0,1.0,ok,,3
lof__without_site_temporal,aggregate,3195,1e-06,0.039076286851218556,1.0213514790220846,0.0,1.0,ok,,3
lof__without_history,aggregate,3195,1e-06,0.03831364411477414,1.0280112774948535,0.0,1.0,ok,,4
lof__without_market_context,aggregate,3195,1e-06,0.04298637701770268,1.026240907369328,0.0,1.0,ok,,4
