variant,column,missing_rate,n,fold_id,split,reason_code,input_rows,eligible_rows,excluded_rows,source,game_id
,,,,test_2018,train,counts,874,0,874,eligibility_counts,
,,,,test_2018,test,counts,884,0,884,eligibility_counts,
,,,,test_2019,train,counts,1758,0,1758,eligibility_counts,
,,,,test_2019,test,counts,888,0,888,eligibility_counts,
,,,,test_2020,train,counts,2646,0,2646,eligibility_counts,
,,,,test_2020,test,counts,570,0,570,eligibility_counts,
,,,,test_2021,train,counts,3216,0,3216,eligibility_counts,
,,,,test_2021,test,counts,887,738,149,eligibility_counts,
,,,,test_2022,train,counts,4103,738,3365,eligibility_counts,
,,,,test_2022,test,counts,896,714,182,eligibility_counts,
,,,,test_2023,train,counts,4999,1452,3547,eligibility_counts,
,,,,test_2023,test,counts,910,787,123,eligibility_counts,
,,,,test_2024,train,counts,5909,2239,3670,eligibility_counts,
,,,,test_2024,test,counts,920,830,90,eligibility_counts,
,,,,test_2025,train,counts,6829,3069,3760,eligibility_counts,
,,,,test_2025,test,counts,934,864,70,eligibility_counts,
single__home_field_advantage,home_field_advantage,0.0,3195,,,,,,,,
single__is_week_1,is_week_1,0.0,3195,,,,,,,,
single__is_weeks_1_3,is_weeks_1_3,0.0,3195,,,,,,,,
single__home_conference,home_conference,0.0,3195,,,,,,,,
single__away_conference,away_conference,0.0,3195,,,,,,,,
single__home_classification,home_classification,0.0,3195,,,,,,,,
single__away_classification,away_classification,0.0,3195,,,,,,,,
single__home_entering_wins,home_entering_wins,0.0,3195,,,,,,,,
single__home_entering_losses,home_entering_losses,0.0,3195,,,,,,,,
single__away_entering_wins,away_entering_wins,0.0,3195,,,,,,,,
single__away_entering_losses,away_entering_losses,0.0,3195,,,,,,,,
single__home_previous_result,home_previous_result,0.0647887323943662,3195,,,,,,,,
single__away_previous_result,away_previous_result,0.08262910798122065,3195,,,,,,,,
single__home_sos,home_sos,0.0647887323943662,3195,,,,,,,,
single__away_sos,away_sos,0.08262910798122065,3195,,,,,,,,
single__home_days_rest,home_days_rest,0.0647887323943662,3195,,,,,,,,
single__away_days_rest,away_days_rest,0.08262910798122065,3195,,,,,,,,
single__spread_home,spread_home,0.0,3195,,,,,,,,
single__total,total,0.00031298904538341156,3195,,,,,,,,
single__line_provider_count,line_provider_count,0.0,3195,,,,,,,,
family__site_temporal,home_field_advantage,0.0,3195,,,,,,,,
family__site_temporal,is_week_1,0.0,3195,,,,,,,,
family__site_temporal,is_weeks_1_3,0.0,3195,,,,,,,,
family__site_temporal,home_conference,0.0,3195,,,,,,,,
family__site_temporal,away_conference,0.0,3195,,,,,,,,
family__site_temporal,home_classification,0.0,3195,,,,,,,,
family__site_temporal,away_classification,0.0,3195,,,,,,,,
family__history,home_entering_wins,0.0,3195,,,,,,,,
family__history,home_entering_losses,0.0,3195,,,,,,,,
family__history,away_entering_wins,0.0,3195,,,,,,,,
family__history,away_entering_losses,0.0,3195,,,,,,,,
family__history,home_previous_result,0.0647887323943662,3195,,,,,,,,
family__history,away_previous_result,0.08262910798122065,3195,,,,,,,,
family__history,home_sos,0.0647887323943662,3195,,,,,,,,
family__history,away_sos,0.08262910798122065,3195,,,,,,,,
family__history,home_days_rest,0.0647887323943662,3195,,,,,,,,
family__history,away_days_rest,0.08262910798122065,3195,,,,,,,,
family__market_context,spread_home,0.0,3195,,,,,,,,
family__market_context,total,0.00031298904538341156,3195,,,,,,,,
family__market_context,line_provider_count,0.0,3195,,,,,,,,
combined,home_field_advantage,0.0,3195,,,,,,,,
combined,is_week_1,0.0,3195,,,,,,,,
combined,is_weeks_1_3,0.0,3195,,,,,,,,
combined,home_conference,0.0,3195,,,,,,,,
combined,away_conference,0.0,3195,,,,,,,,
combined,home_classification,0.0,3195,,,,,,,,
combined,away_classification,0.0,3195,,,,,,,,
combined,home_entering_wins,0.0,3195,,,,,,,,
combined,home_entering_losses,0.0,3195,,,,,,,,
combined,away_entering_wins,0.0,3195,,,,,,,,
combined,away_entering_losses,0.0,3195,,,,,,,,
combined,home_previous_result,0.0647887323943662,3195,,,,,,,,
combined,away_previous_result,0.08262910798122065,3195,,,,,,,,
combined,home_sos,0.0647887323943662,3195,,,,,,,,
combined,away_sos,0.08262910798122065,3195,,,,,,,,
combined,home_days_rest,0.0647887323943662,3195,,,,,,,,
combined,away_days_rest,0.08262910798122065,3195,,,,,,,,
combined,spread_home,0.0,3195,,,,,,,,
combined,total,0.00031298904538341156,3195,,,,,,,,
combined,line_provider_count,0.0,3195,,,,,,,,
lof__without_site_temporal,home_entering_wins,0.0,3195,,,,,,,,
lof__without_site_temporal,home_entering_losses,0.0,3195,,,,,,,,
lof__without_site_temporal,away_entering_wins,0.0,3195,,,,,,,,
lof__without_site_temporal,away_entering_losses,0.0,3195,,,,,,,,
lof__without_site_temporal,home_previous_result,0.0647887323943662,3195,,,,,,,,
lof__without_site_temporal,away_previous_result,0.08262910798122065,3195,,,,,,,,
lof__without_site_temporal,home_sos,0.0647887323943662,3195,,,,,,,,
lof__without_site_temporal,away_sos,0.08262910798122065,3195,,,,,,,,
lof__without_site_temporal,home_days_rest,0.0647887323943662,3195,,,,,,,,
lof__without_site_temporal,away_days_rest,0.08262910798122065,3195,,,,,,,,
lof__without_site_temporal,spread_home,0.0,3195,,,,,,,,
lof__without_site_temporal,total,0.00031298904538341156,3195,,,,,,,,
lof__without_site_temporal,line_provider_count,0.0,3195,,,,,,,,
lof__without_history,home_field_advantage,0.0,3195,,,,,,,,
lof__without_history,is_week_1,0.0,3195,,,,,,,,
lof__without_history,is_weeks_1_3,0.0,3195,,,,,,,,
lof__without_history,home_conference,0.0,3195,,,,,,,,
lof__without_history,away_conference,0.0,3195,,,,,,,,
lof__without_history,home_classification,0.0,3195,,,,,,,,
lof__without_history,away_classification,0.0,3195,,,,,,,,
lof__without_history,spread_home,0.0,3195,,,,,,,,
lof__without_history,total,0.00031298904538341156,3195,,,,,,,,
lof__without_history,line_provider_count,0.0,3195,,,,,,,,
lof__without_market_context,home_field_advantage,0.0,3195,,,,,,,,
lof__without_market_context,is_week_1,0.0,3195,,,,,,,,
lof__without_market_context,is_weeks_1_3,0.0,3195,,,,,,,,
lof__without_market_context,home_conference,0.0,3195,,,,,,,,
lof__without_market_context,away_conference,0.0,3195,,,,,,,,
lof__without_market_context,home_classification,0.0,3195,,,,,,,,
lof__without_market_context,away_classification,0.0,3195,,,,,,,,
lof__without_market_context,home_entering_wins,0.0,3195,,,,,,,,
lof__without_market_context,home_entering_losses,0.0,3195,,,,,,,,
lof__without_market_context,away_entering_wins,0.0,3195,,,,,,,,
lof__without_market_context,away_entering_losses,0.0,3195,,,,,,,,
lof__without_market_context,home_previous_result,0.0647887323943662,3195,,,,,,,,
lof__without_market_context,away_previous_result,0.08262910798122065,3195,,,,,,,,
lof__without_market_context,home_sos,0.0647887323943662,3195,,,,,,,,
lof__without_market_context,away_sos,0.08262910798122065,3195,,,,,,,,
lof__without_market_context,home_days_rest,0.0647887323943662,3195,,,,,,,,
lof__without_market_context,away_days_rest,0.08262910798122065,3195,,,,,,,,
