variant,fold_id,test_season,n,delta_log_loss,delta_brier,delta_accuracy
single__home_field_advantage,test_2022,2022,714,-0.00022581061025850335,-0.00010480836479889732,-0.0028011204481792618
single__home_field_advantage,test_2023,2023,787,0.00025564117088971994,0.00013270520474137348,0.0012706480304955914
single__home_field_advantage,test_2024,2024,830,-5.589927061422362e-05,-2.327369198962259e-05,0.0
single__home_field_advantage,test_2025,2025,864,1.9941836671755198e-05,1.0414851910472978e-05,0.0
single__is_week_1,test_2022,2022,714,0.0001333752823635681,3.7993838608280095e-05,0.0
single__is_week_1,test_2023,2023,787,9.801889347460513e-05,4.015668914383874e-05,0.0
single__is_week_1,test_2024,2024,830,9.918141364739785e-05,4.889997918847144e-05,0.0036144578313253017
single__is_week_1,test_2025,2025,864,-8.667357906944062e-07,-1.9471339673948762e-07,0.0
single__is_weeks_1_3,test_2022,2022,714,-2.3591727185690026e-05,1.4884689967492593e-05,0.0
single__is_weeks_1_3,test_2023,2023,787,0.0001122771492011454,3.358014124463238e-05,0.0025412960609910717
single__is_weeks_1_3,test_2024,2024,830,-8.05775021696098e-05,-3.5736997581553576e-05,0.0036144578313253017
single__is_weeks_1_3,test_2025,2025,864,0.00020149367702537724,8.506280313586023e-05,0.0
single__home_conference,test_2022,2022,714,-5.602674197857649e-05,-1.8169465379413996e-05,0.0
single__home_conference,test_2023,2023,787,1.0579508689212425e-05,4.00950364184971e-06,0.0012706480304955914
single__home_conference,test_2024,2024,830,-3.560882981812341e-07,4.812683089189251e-06,0.002409638554216831
single__home_conference,test_2025,2025,864,2.9698379890752413e-05,1.6331318726997557e-05,0.0011574074074074403
single__away_conference,test_2022,2022,714,4.028996521088235e-05,-3.92268312954247e-06,-0.0028011204481792618
single__away_conference,test_2023,2023,787,7.612537475498726e-06,5.232905126995036e-07,0.0
single__away_conference,test_2024,2024,830,-4.0624422617430156e-05,-1.5001718934815056e-05,0.002409638554216831
single__away_conference,test_2025,2025,864,2.8030471435402937e-05,1.1797755678805144e-05,0.0
single__home_classification,test_2022,2022,714,0.0,0.0,0.0
single__home_classification,test_2023,2023,787,0.0,0.0,0.0
single__home_classification,test_2024,2024,830,0.0,0.0,0.0
single__home_classification,test_2025,2025,864,0.0,0.0,0.0
single__away_classification,test_2022,2022,714,-1.7773367266826767e-07,-4.059686853352673e-08,0.0
single__away_classification,test_2023,2023,787,-1.0985620131354068e-06,-2.987093052631007e-07,0.0
single__away_classification,test_2024,2024,830,-4.743194781386961e-08,4.674411915039922e-07,0.0
single__away_classification,test_2025,2025,864,-4.224157805876594e-06,-1.1462859902666711e-06,0.0
single__home_entering_wins,test_2022,2022,714,0.0005016783018165771,0.00020793913808184183,0.0014005602240896309
single__home_entering_wins,test_2023,2023,787,3.549849698603058e-05,1.7076940196231183e-05,0.0
single__home_entering_wins,test_2024,2024,830,-2.165798003683772e-05,-1.0012774987994133e-05,0.004819277108433662
single__home_entering_wins,test_2025,2025,864,-3.1616986122529056e-06,-2.1898430160594007e-06,0.0011574074074074403
single__home_entering_losses,test_2022,2022,714,-0.0001572740407902451,-6.988898775894814e-05,-0.0028011204481792618
single__home_entering_losses,test_2023,2023,787,-0.0003576859385338027,-0.00012891763994468675,0.0012706480304955914
single__home_entering_losses,test_2024,2024,830,0.0003513994300364809,0.0001424523579833803,0.0036144578313253017
single__home_entering_losses,test_2025,2025,864,-0.00017893300677207513,-5.867197595380014e-05,0.0
single__away_entering_wins,test_2022,2022,714,-2.289379889142129e-05,-1.1221909059527801e-05,-0.004201680672268893
single__away_entering_wins,test_2023,2023,787,4.1798820773597534e-05,3.710215606142486e-05,0.0
single__away_entering_wins,test_2024,2024,830,2.9875038629056938e-05,1.4708438131255663e-05,0.002409638554216831
single__away_entering_wins,test_2025,2025,864,-3.2795315933920044e-05,-1.1738967141766699e-05,0.0
single__away_entering_losses,test_2022,2022,714,0.00025383047962468375,9.29187530533393e-05,-0.0014005602240896309
single__away_entering_losses,test_2023,2023,787,-5.446504001738184e-05,-2.2214205687459687e-05,0.0
single__away_entering_losses,test_2024,2024,830,0.00014531234063119847,6.208155466722043e-05,0.0036144578313253017
single__away_entering_losses,test_2025,2025,864,-1.872597419350086e-07,-1.7476773347957497e-07,0.0
single__home_previous_result,test_2022,2022,714,4.954593279382635e-05,1.3279339261346168e-05,0.0
single__home_previous_result,test_2023,2023,787,-8.878882548946088e-05,-3.475641760997128e-05,0.0012706480304955914
single__home_previous_result,test_2024,2024,830,3.082927990571971e-05,1.717055801614409e-05,0.0
single__home_previous_result,test_2025,2025,864,-0.00011559527377402734,-4.74417642186975e-05,0.0
single__away_previous_result,test_2022,2022,714,0.00010996332060653202,3.135425722566865e-05,-0.0014005602240896309
single__away_previous_result,test_2023,2023,787,2.6226253618477635e-05,4.42240384676551e-06,0.0025412960609910717
single__away_previous_result,test_2024,2024,830,3.492905034574445e-05,1.3292456157054655e-05,0.0036144578313253017
single__away_previous_result,test_2025,2025,864,-1.8438206823567782e-05,-7.231429769771758e-06,-0.0011574074074074403
single__home_sos,test_2022,2022,714,-0.00020319498399201663,-0.00019236769076722005,0.0014005602240896309
single__home_sos,test_2023,2023,787,-0.000530790892977806,-0.0002075804007453108,0.0
single__home_sos,test_2024,2024,830,3.406000806394083e-05,6.576902663021911e-05,0.004819277108433662
single__home_sos,test_2025,2025,864,-0.00020369256473773412,-8.609713644058825e-05,0.0011574074074074403
single__away_sos,test_2022,2022,714,-4.575411889473635e-05,-2.8773464606751675e-05,-0.0028011204481792618
single__away_sos,test_2023,2023,787,1.5130570989896341e-05,1.308488300319488e-05,0.0
single__away_sos,test_2024,2024,830,0.00013343212417471495,5.286030007742304e-05,0.0036144578313253017
single__away_sos,test_2025,2025,864,2.2587902545057048e-05,7.50187923515e-06,0.0
single__home_days_rest,test_2022,2022,714,-0.0002254431166245352,-0.00011417551666548231,-0.0014005602240896309
single__home_days_rest,test_2023,2023,787,0.00037193577981686765,0.00015725986057540942,0.0025412960609910717
single__home_days_rest,test_2024,2024,830,3.0264285297953997e-05,1.0148779063273716e-05,0.002409638554216831
single__home_days_rest,test_2025,2025,864,-3.2600274590954825e-07,-4.6150377902565154e-07,0.0011574074074074403
single__away_days_rest,test_2022,2022,714,-0.00023532573863460637,-0.00011365095306467565,-0.0014005602240896309
single__away_days_rest,test_2023,2023,787,0.00019039347801708129,9.069431322064614e-05,0.0012706480304955914
single__away_days_rest,test_2024,2024,830,0.00011444415613337533,3.2234933704633484e-05,0.0
single__away_days_rest,test_2025,2025,864,7.39684020891751e-05,2.7734577788929293e-05,0.0023148148148148806
single__spread_home,test_2022,2022,714,0.00017507143447148543,2.4819244649448846e-05,-0.0014005602240896309
single__spread_home,test_2023,2023,787,-6.484227288861e-05,-1.2484739758455987e-05,0.0012706480304955914
single__spread_home,test_2024,2024,830,-2.5253630266841576e-05,1.231441340565631e-05,0.004819277108433662
single__spread_home,test_2025,2025,864,-0.00010938258746873153,-1.5947803747307088e-05,0.0
single__total,test_2022,2022,714,-8.158165820992824e-05,-7.819054200711162e-05,-0.0028011204481792618
single__total,test_2023,2023,787,-6.38938512576015e-05,-6.086727308035611e-06,0.0
single__total,test_2024,2024,830,0.00015481280804119368,6.660151315310281e-05,0.00120481927710836
single__total,test_2025,2025,864,-2.893749277244062e-05,-1.089459979597418e-05,0.0011574074074074403
single__line_provider_count,test_2022,2022,714,8.605970460262569e-06,-2.18672230478667e-06,0.0
single__line_provider_count,test_2023,2023,787,-0.00010996869128809816,-4.8446262064932855e-05,0.0025412960609910717
single__line_provider_count,test_2024,2024,830,-1.332811257126476e-05,1.983416070658328e-05,0.0
single__line_provider_count,test_2025,2025,864,-6.141365344614069e-05,-1.9830948718352337e-05,0.0
family__site_temporal,test_2022,2022,714,-8.101205498456387e-05,-5.443243281300081e-05,-0.0028011204481792618
family__site_temporal,test_2023,2023,787,0.00040839355293631474,0.00018079838561008144,0.0012706480304955914
family__site_temporal,test_2024,2024,830,-8.460406576649149e-05,-2.171546228735277e-05,0.0036144578313253017
family__site_temporal,test_2025,2025,864,0.00025504222551631095,0.00011719421789690987,0.0
family__history,test_2022,2022,714,8.27978027996279e-05,-0.0001611262000989766,-0.0014005602240896309
family__history,test_2023,2023,787,-0.0002385092095736896,-4.753644701729898e-05,0.0025412960609910717
family__history,test_2024,2024,830,0.0007426072782287241,0.00034155044479383667,0.002409638554216831
family__history,test_2025,2025,864,-0.00037765463324823667,-0.00014996440155204405,0.0011574074074074403
family__market_context,test_2022,2022,714,9.464014268223409e-05,-5.827306698599766e-05,-0.0014005602240896309
family__market_context,test_2023,2023,787,-0.00025814613892827243,-7.497397771813463e-05,0.0025412960609910717
family__market_context,test_2024,2024,830,0.00011466014937411284,9.92071687016538e-05,0.0
family__market_context,test_2025,2025,864,-0.00020207545419448358,-4.764420513123091e-05,0.0011574074074074403
combined,test_2022,2022,714,0.00021216632225529164,-0.00021244548401294638,0.0
combined,test_2023,2023,787,-0.00023652982304944725,-1.4176610796778899e-05,0.0
combined,test_2024,2024,830,0.0007403075449327057,0.00040489520823636105,0.0036144578313253017
combined,test_2025,2025,864,-0.00033445206255411364,-8.41792674774744e-05,0.0011574074074074403
lof__without_site_temporal,test_2022,2022,714,0.00015423419888038747,-0.00022374023496232742,0.0
lof__without_site_temporal,test_2023,2023,787,-0.0004969327421194825,-0.000126846617376275,0.0025412960609910717
lof__without_site_temporal,test_2024,2024,830,0.0008578422091691795,0.00044107817571897856,0.0036144578313253017
lof__without_site_temporal,test_2025,2025,864,-0.0005557913303622097,-0.00019104925461194133,0.0011574074074074403
lof__without_history,test_2022,2022,714,1.9433968744042573e-05,-0.00011085949138908702,-0.0014005602240896309
lof__without_history,test_2023,2023,787,0.0001594511709975821,0.00010968009310799443,0.0
lof__without_history,test_2024,2024,830,3.208221898365338e-05,7.883236421962758e-05,0.002409638554216831
lof__without_history,test_2025,2025,864,5.1773310068892187e-05,6.925769912069502e-05,0.0
lof__without_market_context,test_2022,2022,714,0.0001300020781682676,-0.0001537319358130007,-0.0014005602240896309
lof__without_market_context,test_2023,2023,787,1.1882888811598491e-05,6.0701375719285355e-05,-0.0012706480304954804
lof__without_market_context,test_2024,2024,830,0.0006220480190474165,0.0003037483956536413,0.002409638554216831
lof__without_market_context,test_2025,2025,864,-0.00015542664210099755,-4.296554705512934e-05,0.0011574074074074403
