variant,n,log_loss,brier,accuracy,delta_log_loss,delta_brier,delta_accuracy
single__home_field_advantage,3195,0.5321047771261366,0.17933422375714225,0.7223787167449139,3.378459480507523e-06,6.036648314361459e-06,-0.0003129890453833495
single__is_week_1,3195,0.5321808798980727,0.17935921986797473,0.7236306729264476,7.948123141665597e-05,3.103275914684289e-05,0.0009389671361502705
single__is_weeks_1_3,3195,0.5321573388335918,0.1793535041021653,0.7242566510172144,5.594016693577508e-05,2.5316993337409777e-05,0.0015649452269170805
single__home_conference,3195,0.5320994227125101,0.17933078093274946,0.723943661971831,-1.9759541459718477e-06,2.5938239215650416e-06,0.001251956181533731
single__away_conference,3195,0.5321093041936362,0.17932673260744122,0.7226917057902973,7.905526980156452e-06,-1.4545013866662515e-06,0.0
single__home_classification,3195,0.5321013986666561,0.1793281871088279,0.7226917057902973,0.0,0.0,0.0
single__away_classification,3195,0.5320999337179838,0.1793279159084229,0.7226917057902973,-1.464948672258437e-06,-2.712004049942873e-07,0.0
single__home_entering_wins,3195,0.5322157735629294,0.17937566925872428,0.7245696400625978,0.00011437489627330599,4.748214989638844e-05,0.001877934272300541
single__home_entering_losses,3195,0.5320210452739577,0.17930195360335238,0.7233176838810642,-8.03533926984068e-05,-2.6233505475509178e-05,0.000625978090766921
single__away_entering_wins,3195,0.5321054708508925,0.17933546488341015,0.7223787167449139,4.072184236481036e-06,7.277774582259422e-06,-0.0003129890453833495
single__away_entering_losses,3195,0.5321824059988205,0.17935956053632587,0.7233176838810642,8.10073321644289e-05,3.1373427497982664e-05,0.000625978090766921
single__home_previous_result,3195,0.5320673495199066,0.1793142246757894,0.7230046948356808,-3.4049146749426384e-05,-1.39624330385002e-05,0.0003129890453834605
single__away_previous_result,3195,0.5321365205363281,0.1793377808974901,0.7236306729264476,3.5121869672027906e-05,9.593788662221048e-06,0.0009389671361502705
single__home_sos,3195,0.5318790092392431,0.17922786913061944,0.7245696400625978,-0.0002223894274129279,-0.00010031797820844734,0.001877934272300541
single__away_sos,3195,0.5321356721969666,0.17934074085590698,0.7230046948356808,3.4273530310491296e-05,1.2553747079091515e-05,0.0003129890453834605
single__home_days_rest,3195,0.5321504079824215,0.1793439201099957,0.723943661971831,4.9009315765458084e-05,1.573300116780585e-05,0.001251956181533731
single__away_days_rest,3195,0.5321454407445309,0.17934100316961063,0.7233176838810642,4.404207787478409e-05,1.281606078273878e-05,0.000625978090766921
single__spread_home,3195,0.5320884105811333,0.17932954470231108,0.723943661971831,-1.2988085522747106e-05,1.3575934831866476e-06,0.001251956181533731
single__total,3195,0.5320998208488211,0.17932356990078682,0.7226917057902973,-1.5778178349412642e-06,-4.61720804106891e-06,0.0
single__line_provider_count,3195,0.5320561641041688,0.1793155548351888,0.7233176838810642,-4.523456248728408e-05,-1.2632273639096026e-05,0.000625978090766921
family__site_temporal,3195,0.5322308816798522,0.17938660824905048,0.7233176838810642,0.00012948301319615219,5.842114022258649e-05,0.000625978090766921
family__history,3195,0.5321519405511843,0.17932864480384028,0.723943661971831,5.0541884528243486e-05,4.576950123902357e-07,0.001251956181533731
family__market_context,3195,0.5320341018848391,0.17930958487611953,0.7233176838810642,-6.729678181693899e-05,-1.8602232708359034e-05,0.000625978090766921
combined,3195,0.5321924241638697,0.1793596390861216,0.723943661971831,9.102549721362596e-05,3.145197729370608e-05,0.001251956181533731
lof__without_site_temporal,3195,0.5320860128995606,0.1793098614481781,0.7245696400625978,-1.538576709547712e-05,-1.8325660649798348e-05,0.001877934272300541
lof__without_history,3195,0.5321673530663161,0.17936963752221344,0.7230046948356808,6.5954399660062e-05,4.145041338554645e-05,0.0003129890453834605
lof__without_market_context,3195,0.5322529431281087,0.17937607327980049,0.7230046948356808,0.0001515444614526018,4.788617097259418e-05,0.0003129890453834605
