variant,slice,metric,contrast_id,delta,mean_delta,ci_low,ci_high,p_value,n_boot,seed,n_clusters,n_rows
single__home_field_advantage,overall,log_loss,single__home_field_advantage|overall|log_loss,3.378459480507523e-06,2.934271543614697e-06,-0.00019134077294201966,0.00019017216299990742,0.9760479041916168,500,20260904,66,3195
single__home_field_advantage,overall,brier,single__home_field_advantage|overall|brier,6.036648314361459e-06,6.398448908301546e-06,-7.466431155347536e-05,7.78205791654489e-05,0.8762475049900199,500,20260904,66,3195
single__is_week_1,overall,log_loss,single__is_week_1|overall|log_loss,7.948123141665597e-05,7.792346140644856e-05,-5.372473152614465e-05,0.00022814348418737085,0.2834331337325349,500,20260904,66,3195
single__is_week_1,overall,brier,single__is_week_1|overall|brier,3.103275914684289e-05,2.9918144985193075e-05,-2.6610705140817784e-05,9.120782508163155e-05,0.2934131736526946,500,20260904,66,3195
single__is_weeks_1_3,overall,log_loss,single__is_weeks_1_3|overall|log_loss,5.594016693577508e-05,5.6593273433145577e-05,-0.00014435551724585328,0.00022979899386310892,0.5868263473053892,500,20260904,66,3195
single__is_weeks_1_3,overall,brier,single__is_weeks_1_3|overall|brier,2.5316993337409777e-05,2.4150679970510457e-05,-4.703410525370779e-05,9.788922906038275e-05,0.5289421157684631,500,20260904,66,3195
single__home_conference,overall,log_loss,single__home_conference|overall|log_loss,-1.9759541459718477e-06,-2.0412965556011466e-06,-4.194042739238679e-05,3.726076814813961e-05,0.9221556886227545,500,20260904,66,3195
single__home_conference,overall,brier,single__home_conference|overall|brier,2.5938239215650416e-06,3.1134350044839663e-06,-1.4197218930031562e-05,1.9681531129578358e-05,0.7704590818363274,500,20260904,66,3195
single__away_conference,overall,log_loss,single__away_conference|overall|log_loss,7.905526980156452e-06,8.555555718157027e-06,-3.688196182399239e-05,5.558276224125191e-05,0.6946107784431138,500,20260904,66,3195
single__away_conference,overall,brier,single__away_conference|overall|brier,-1.4545013866662515e-06,-1.3472516135588642e-06,-2.1439605367856025e-05,1.739865000323844e-05,0.8762475049900199,500,20260904,66,3195
single__home_classification,overall,log_loss,single__home_classification|overall|log_loss,0.0,0.0,0.0,0.0,1.0,500,20260904,66,3195
single__home_classification,overall,brier,single__home_classification|overall|brier,0.0,0.0,0.0,0.0,1.0,500,20260904,66,3195
single__away_classification,overall,log_loss,single__away_classification|overall|log_loss,-1.464948672258437e-06,-1.4419950807413873e-06,-2.8267865412878734e-06,-2.3590128684358875e-07,0.02594810379241517,500,20260904,66,3195
single__away_classification,overall,brier,single__away_classification|overall|brier,-2.712004049942873e-07,-2.786992325927162e-07,-7.750114259227891e-07,1.1491707853361603e-07,0.23952095808383234,500,20260904,66,3195
single__home_entering_wins,overall,log_loss,single__home_entering_wins|overall|log_loss,0.00011437489627330599,0.00012070506542125337,-2.9400674931912005e-05,0.0002828138124670504,0.15768463073852296,500,20260904,66,3195
single__home_entering_wins,overall,brier,single__home_entering_wins|overall|brier,4.748214989638844e-05,4.785267210217037e-05,-7.70077397019772e-06,0.00011079261731305398,0.10578842315369262,500,20260904,66,3195
single__home_entering_losses,overall,log_loss,single__home_entering_losses|overall|log_loss,-8.03533926984068e-05,-8.576323068205705e-05,-0.00030612422337859824,0.0001230639535030331,0.46506986027944114,500,20260904,66,3195
single__home_entering_losses,overall,brier,single__home_entering_losses|overall|brier,-2.6233505475509178e-05,-2.5433852330156383e-05,-0.00010947287351126129,5.780386827899871e-05,0.5169660678642715,500,20260904,66,3195
single__away_entering_wins,overall,log_loss,single__away_entering_wins|overall|log_loss,4.072184236481036e-06,3.24363021018903e-06,-9.235952499587752e-05,8.846630185077584e-05,0.9301397205588823,500,20260904,66,3195
single__away_entering_wins,overall,brier,single__away_entering_wins|overall|brier,7.277774582259422e-06,6.9453960741814865e-06,-3.014219632266682e-05,4.1763696204440845e-05,0.6726546906187625,500,20260904,66,3195
single__away_entering_losses,overall,log_loss,single__away_entering_losses|overall|log_loss,8.10073321644289e-05,8.225268068222502e-05,-1.306515775109651e-05,0.00017575222126923473,0.09780439121756487,500,20260904,66,3195
single__away_entering_losses,overall,brier,single__away_entering_losses|overall|brier,3.1373427497982664e-05,3.1487325909206224e-05,-3.4983708572342003e-06,6.455399248324819e-05,0.0718562874251497,500,20260904,66,3195
single__home_previous_result,overall,log_loss,single__home_previous_result|overall|log_loss,-3.4049146749426384e-05,-3.447398000173041e-05,-0.00012646002874230067,7.617548148482753e-05,0.49500998003992014,500,20260904,66,3195
single__home_previous_result,overall,brier,single__home_previous_result|overall|brier,-1.39624330385002e-05,-1.3430443222459453e-05,-6.183642441217051e-05,3.336276940077014e-05,0.5508982035928144,500,20260904,66,3195
single__away_previous_result,overall,log_loss,single__away_previous_result|overall|log_loss,3.5121869672027906e-05,3.6098809720354066e-05,-2.098156810930174e-05,8.83961661012733e-05,0.21756487025948104,500,20260904,66,3195
single__away_previous_result,overall,brier,single__away_previous_result|overall|brier,9.593788662221048e-06,9.864230816391039e-06,-1.4058808259647532e-05,3.3858178786170384e-05,0.38922155688622756,500,20260904,66,3195
single__home_sos,overall,log_loss,single__home_sos|overall|log_loss,-0.0002223894274129279,-0.00022032049457062786,-0.0005198919684755859,7.768103553376921e-05,0.14770459081836326,500,20260904,66,3195
single__home_sos,overall,brier,single__home_sos|overall|brier,-0.00010031797820844734,-0.00010140326628488128,-0.0002240633094527704,3.519410781818845e-05,0.13572854291417166,500,20260904,66,3195
single__away_sos,overall,log_loss,single__away_sos|overall|log_loss,3.4273530310491296e-05,3.164888537745236e-05,-5.28785023258732e-05,0.00010665596861464109,0.42115768463073855,500,20260904,66,3195
single__away_sos,overall,brier,single__away_sos|overall|brier,1.2553747079091515e-05,1.3085152676037438e-05,-1.6536901846445767e-05,4.295591189039244e-05,0.437125748502994,500,20260904,66,3195
single__home_days_rest,overall,log_loss,single__home_days_rest|overall|log_loss,4.9009315765458084e-05,5.290970324960842e-05,-0.0001598208910338711,0.0002560209728745986,0.6127744510978044,500,20260904,66,3195
single__home_days_rest,overall,brier,single__home_days_rest|overall|brier,1.573300116780585e-05,1.9046474384766143e-05,-6.961542874302992e-05,0.00010290504264158574,0.6986027944111777,500,20260904,66,3195
single__away_days_rest,overall,log_loss,single__away_days_rest|overall|log_loss,4.404207787478409e-05,3.739373081269392e-05,-0.0001234075787394817,0.0001786481944455575,0.5708582834331337,500,20260904,66,3195
single__away_days_rest,overall,brier,single__away_days_rest|overall|brier,1.281606078273878e-05,1.1049781369234013e-05,-6.832215138176319e-05,8.576444553289942e-05,0.6966067864271457,500,20260904,66,3195
single__spread_home,overall,log_loss,single__spread_home|overall|log_loss,-1.2988085522747106e-05,-9.61946276615544e-06,-0.00012152686406378675,8.754073028516271e-05,0.7964071856287425,500,20260904,66,3195
single__spread_home,overall,brier,single__spread_home|overall|brier,1.3575934831866476e-06,1.3358443271127006e-06,-3.426624269191256e-05,3.266849203674079e-05,0.9540918163672655,500,20260904,66,3195
single__total,overall,log_loss,single__total|overall|log_loss,-1.5778178349412642e-06,-6.487668326703e-06,-0.0002841324379610627,0.00023386503900361383,0.9940119760479041,500,20260904,66,3195
single__total,overall,brier,single__total|overall|brier,-4.61720804106891e-06,-3.783160920405926e-06,-0.00011381541821328042,9.930355384479421e-05,0.9421157684630739,500,20260904,66,3195
single__line_provider_count,overall,log_loss,single__line_provider_count|overall|log_loss,-4.523456248728408e-05,-4.455353129670692e-05,-0.00023668344404042526,0.00011914001808735472,0.5329341317365269,500,20260904,66,3195
