variant,drop_season,mode,retrain,n,status,log_loss,brier,accuracy,delta_log_loss,delta_brier,delta_accuracy
single__home_field_advantage,2022,aggregate_existing_predictions,False,2481,ok,0.5162495461024472,0.17337987380650255,0.7299476017734784,6.933613614068523e-05,3.7936422342094156e-05,0.0004030632809350898
single__home_field_advantage,2023,aggregate_existing_predictions,False,2408,ok,0.5374256789557611,0.1816113398385627,0.7196843853820598,-7.906786688116618e-05,-3.536208669732699e-05,-0.0008305647840531893
single__home_field_advantage,2024,aggregate_existing_predictions,False,2365,ok,0.5336295851967207,0.179602205280017,0.7255813953488373,2.41820603171794e-05,1.6323152522507156e-05,-0.00042283298097245403
single__home_field_advantage,2025,aggregate_existing_predictions,False,2331,ok,0.541936576987615,0.18304751007283407,0.7138567138567139,-2.7608617949592684e-06,4.413839259392871e-06,-0.00042900042900040347
single__is_week_1,2022,aggregate_existing_predictions,False,2481,ok,0.516244181180643,0.17337096683386133,0.7307537283353487,6.397121433643349e-05,2.9029449700873622e-05,0.0012091898428053804
single__is_week_1,2023,aggregate_existing_predictions,False,2408,ok,0.5375781694410857,0.18167475273552497,0.7217607973421927,7.342261844345277e-05,2.8050810264940162e-05,0.001245847176079673
single__is_week_1,2024,aggregate_existing_predictions,False,2365,ok,0.5336779705617941,0.17961064436121446,0.7260042283298097,7.256742539063499e-05,2.476223371997155e-05,0.0
single__is_week_1,2025,aggregate_existing_predictions,False,2331,ok,0.5420486005667413,0.1830857036543593,0.7155727155727156,0.00010926271733135984,4.2607420784629424e-05,0.0012870012870013214
single__is_weeks_1_3,2022,aggregate_existing_predictions,False,2481,ok,0.5162590383929775,0.1733702566606926,0.7315598548972189,7.882842667095158e-05,2.8319276532157156e-05,0.00201531640467556
single__is_weeks_1_3,2023,aggregate_existing_predictions,False,2408,ok,0.5375422745290122,0.18166931829675237,0.7217607973421927,3.752770636988867e-05,2.261637149233997e-05,0.001245847176079673
single__is_weeks_1_3,2024,aggregate_existing_predictions,False,2365,ok,0.5337092543669154,0.17963262610284575,0.7268498942917547,0.00010385123051193101,4.674397535125996e-05,0.0008456659619450191
single__is_weeks_1_3,2025,aggregate_existing_predictions,False,2331,ok,0.5419413276805597,0.18304626806189028,0.7164307164307164,1.989831149740162e-06,3.171828315606806e-06,0.0021450021450021284
single__home_conference,2022,aggregate_existing_predictions,False,2481,ok,0.5161937891361077,0.1733505066166112,0.7311567916162838,1.3579169801158919e-05,8.56923245073915e-06,0.0016122531237404703
single__home_conference,2023,aggregate_existing_predictions,False,2408,ok,0.5374986674011993,0.1816488330664823,0.7217607973421927,-6.079421442928279e-06,2.1311412222724258e-06,0.001245847176079673
single__home_conference,2024,aggregate_existing_predictions,False,2365,ok,0.5336028586881123,0.179587697239742,0.7268498942917547,-2.544448291175172e-06,1.8151122475051906e-06,0.0008456659619450191
single__home_conference,2025,aggregate_existing_predictions,False,2331,ok,0.541925621601567,0.18304059816752974,0.7155727155727156,-1.3716247842965323e-05,-2.498066044936964e-06,0.0012870012870013214
single__away_conference,2022,aggregate_existing_predictions,False,2481,ok,0.5161787956670486,0.1733411931938437,0.7303506650544136,-1.4142992579291302e-06,-7.441903167593189e-07,0.0008061265618702906
single__away_conference,2023,aggregate_existing_predictions,False,2408,ok,0.5375127481065743,0.1816446010276006,0.720514950166113,8.001283932079772e-06,-2.100897659423895e-06,0.0
single__away_conference,2024,aggregate_existing_predictions,False,2365,ok,0.5336303403158852,0.17958918204072302,0.7251585623678647,2.4937179481709926e-05,3.299913228532736e-06,-0.0008456659619450191
single__away_conference,2025,aggregate_existing_predictions,False,2331,ok,0.5419397839375187,0.18303672969868112,0.7142857142857143,4.4608810878532523e-07,-6.366534893553766e-06,0.0
single__home_classification,2022,aggregate_existing_predictions,False,2481,ok,0.5161802099663065,0.17334193738416045,0.7295445384925433,0.0,0.0,0.0
single__home_classification,2023,aggregate_existing_predictions,False,2408,ok,0.5375047468226423,0.18164670192526003,0.720514950166113,0.0,0.0,0.0
single__home_classification,2024,aggregate_existing_predictions,False,2365,ok,0.5336054031364035,0.1795858821274945,0.7260042283298097,0.0,0.0,0.0
single__home_classification,2025,aggregate_existing_predictions,False,2331,ok,0.54193933784941,0.18304309623357468,0.7142857142857143,0.0,0.0,0.0
single__away_classification,2022,aggregate_existing_predictions,False,2481,ok,0.5161783745736563,0.1733415998190134,0.7295445384925433,-1.8353926501957218e-06,-3.375651470571839e-07,0.0
