variant,slice,n,status,delta_log_loss,delta_brier,delta_accuracy
single__home_field_advantage,overall,3195,ok,3.378459480507523e-06,6.036648314361459e-06,-0.0003129890453833495
single__home_field_advantage,weeks_1_3,818,ok,0.00012509988625258872,5.222428248197186e-05,-0.0012224938875305957
single__home_field_advantage,weeks_4_plus,2377,ok,-3.85096882264957e-05,-9.85796033065034e-06,0.0
single__home_field_advantage,neutral_site,261,ok,0.00022245331247561229,0.0001387683879660595,-0.007662835249042099
single__home_field_advantage,non_neutral,2934,ok,-1.6109794313434733e-05,-5.770776378616338e-06,0.0003408316291751978
single__home_field_advantage,favorite_lt_3,476,ok,0.0002302743464210888,0.00011190546396933065,0.0021008403361344463
single__home_field_advantage,favorite_3_to_7,1019,ok,7.556617940396304e-05,2.8918173661712787e-05,-0.001962708537782132
single__home_field_advantage,favorite_gt_7,1700,ok,-0.00010342255745227069,-3.7322075556678325e-05,0.0
single__home_field_advantage,favorite_missing_spread,0,empty,,,
single__home_field_advantage,verified_espn_pickem,0,empty,,,
single__home_field_advantage,home_conference__Big Ten,413,ok,1.1360767477097689e-05,1.1706548909529157e-05,0.002421307506053294
single__home_field_advantage,home_conference__ACC,386,ok,0.00011374509884076733,6.691838464778499e-05,-0.002590673575129543
single__home_field_advantage,home_conference__SEC,372,ok,5.208542551760065e-06,-1.538277596996318e-05,0.0026881720430107503
single__is_week_1,overall,3195,ok,7.948123141665597e-05,3.103275914684289e-05,0.0009389671361502705
single__is_week_1,weeks_1_3,818,ok,0.00024133951135107967,9.981039711598472e-05,0.0024449877750611915
single__is_week_1,weeks_4_plus,2377,ok,2.378073794329083e-05,7.364224077904824e-06,0.00042069835927649457
single__is_week_1,neutral_site,261,ok,-0.00018186415854093418,-5.817474849523219e-05,-0.007662835249042099
single__is_week_1,non_neutral,2934,ok,0.00010272974770131338,3.8968396329747135e-05,0.001704158145875878
single__is_week_1,favorite_lt_3,476,ok,0.00040181997644228584,0.00019800096131955547,0.006302521008403339
single__is_week_1,favorite_3_to_7,1019,ok,4.607199006378959e-05,1.2203436702967752e-05,0.0
single__is_week_1,favorite_gt_7,1700,ok,9.25227512632576e-06,-4.43182006720777e-06,0.0
single__is_week_1,favorite_missing_spread,0,empty,,,
single__is_week_1,verified_espn_pickem,0,empty,,,
single__is_week_1,home_conference__Big Ten,413,ok,4.568286975814573e-06,2.5302461915954755e-06,0.0
single__is_week_1,home_conference__ACC,386,ok,0.00018150907883918155,8.316646746492351e-05,0.0
single__is_week_1,home_conference__SEC,372,ok,5.286250350394761e-05,9.018734985544175e-06,0.0
single__is_weeks_1_3,overall,3195,ok,5.594016693577508e-05,2.5316993337409777e-05,0.0015649452269170805
single__is_weeks_1_3,weeks_1_3,818,ok,0.0002512238354470675,0.00010674575097935346,0.004889975550122272
single__is_weeks_1_3,weeks_4_plus,2377,ok,-1.1263047554055383e-05,-2.705187458179603e-06,0.00042069835927649457
single__is_weeks_1_3,neutral_site,261,ok,0.00017505281924123928,6.788417524641877e-05,0.0
single__is_weeks_1_3,non_neutral,2934,ok,4.534425614799442e-05,2.1530342186021345e-05,0.001704158145875878
single__is_weeks_1_3,favorite_lt_3,476,ok,0.00023155393403606617,0.0001147268244585109,0.010504201680672343
single__is_weeks_1_3,favorite_3_to_7,1019,ok,4.335919266806876e-05,1.897891729324419e-05,0.0
single__is_weeks_1_3,favorite_gt_7,1700,ok,1.4309496135289645e-05,4.081357969976107e-06,0.0
single__is_weeks_1_3,favorite_missing_spread,0,empty,,,
single__is_weeks_1_3,verified_espn_pickem,0,empty,,,
single__is_weeks_1_3,home_conference__Big Ten,413,ok,0.00014076950719882353,6.189639196388375e-05,0.002421307506053294
single__is_weeks_1_3,home_conference__ACC,386,ok,0.0003326895961188736,0.0001076820202029205,0.0
single__is_weeks_1_3,home_conference__SEC,372,ok,-0.00015943934547762995,-6.955701523461699e-05,0.0026881720430107503
single__home_conference,overall,3195,ok,-1.9759541459718477e-06,2.5938239215650416e-06,0.001251956181533731
