variant,metric,observed_delta_candidate_minus_market,ci_low,ci_high,n_games,n_week_clusters,approx_current_mde_80pct_two_sided,approx_mde_at_6000_games,interpretation
combined,brier,3.145197729370608e-05,-0.0003635338105388311,0.0003556289710371147,3195,66,0.0005139879697210326,0.00037507037283962845,planning_approximation_not_promotion_evidence
combined,log_loss,9.102549721362596e-05,-0.0007641646122473394,0.000873786076776786,3195,66,0.0011706486635887883,0.0008542527385509981,planning_approximation_not_promotion_evidence
family__history,brier,4.576950123902357e-07,-0.00028811678806945696,0.0002570824018118873,3195,66,0.00038965562718163435,0.00028434183283588714,planning_approximation_not_promotion_evidence
family__history,log_loss,5.0541884528243486e-05,-0.0005082473831531292,0.0006515215100768579,3195,66,0.0008288905850642096,0.0006048629911552753,planning_approximation_not_promotion_evidence
family__market_context,brier,-1.8602232708359034e-05,-0.00012698970281629918,7.697880129978115e-05,3195,66,0.00014577695064797933,0.00010637722758499095,planning_approximation_not_promotion_evidence
family__market_context,log_loss,-6.729678181693899e-05,-0.00033551201939826804,0.00022588622493270832,3195,66,0.0004012331438736429,0.0002927902475032294,planning_approximation_not_promotion_evidence
family__site_temporal,brier,5.842114022258649e-05,-7.631917817454356e-05,0.0002104900596219218,3195,66,0.00020498349137200786,0.0001495817782984224,planning_approximation_not_promotion_evidence
family__site_temporal,log_loss,0.00012948301319615219,-0.00021109166165262093,0.00046507942789833777,3195,66,0.00048326166815913573,0.00035264859244453777,planning_approximation_not_promotion_evidence
single__home_sos,brier,-0.00010031797820844734,-0.0002240633094527704,3.519410781818845e-05,3195,66,0.00018529211598827228,0.00013521247017840677,planning_approximation_not_promotion_evidence
single__home_sos,log_loss,-0.0002223894274129279,-0.0005198919684755859,7.768103553376921e-05,3195,66,0.00042708736180395814,0.00031165674191527466,planning_approximation_not_promotion_evidence
