variant,season,n,delta_log_loss,delta_brier
single__team_form_efficiency__form_offense_ppa_diff,2022,714,-0.00020695135292314593,-6.915981703020657e-05
single__team_form_efficiency__form_offense_ppa_diff,2023,787,0.00025737428687799824,7.944608967916378e-05
single__team_form_efficiency__form_offense_ppa_diff,2024,830,3.685648063711522e-05,1.5254011938664602e-05
single__team_form_efficiency__form_offense_ppa_diff,2025,864,-3.6308528643780313e-05,-1.4511634493535874e-05
single__team_form_efficiency__form_defense_ppa_diff,2022,714,7.977996181585123e-05,3.290127115621044e-05
single__team_form_efficiency__form_defense_ppa_diff,2023,787,-4.069853179022864e-06,-5.76073636501806e-06
single__team_form_efficiency__form_defense_ppa_diff,2024,830,2.2127358317525214e-05,1.2848170173301865e-05
single__team_form_efficiency__form_defense_ppa_diff,2025,864,6.930933330928646e-06,3.7590784779661934e-06
single__team_form_efficiency__form_offense_successRate_diff,2022,714,-7.3104162990556e-05,-3.33061813567459e-05
single__team_form_efficiency__form_offense_successRate_diff,2023,787,-6.408711075978069e-05,-1.0279038288207865e-05
single__team_form_efficiency__form_offense_successRate_diff,2024,830,-3.055953252273369e-05,-7.130161497059806e-07
single__team_form_efficiency__form_offense_successRate_diff,2025,864,0.000139337503183401,6.502400829766497e-05
single__team_form_efficiency__form_defense_successRate_diff,2022,714,3.5177835901567533e-05,1.6272297511832345e-05
single__team_form_efficiency__form_defense_successRate_diff,2023,787,1.4464542848702244e-05,1.6535799673145224e-06
single__team_form_efficiency__form_defense_successRate_diff,2024,830,1.964682665889228e-05,1.1930428017059569e-05
single__team_form_efficiency__form_defense_successRate_diff,2025,864,-5.862619239960232e-06,-1.0115131505450403e-06
single__team_form_efficiency__form_offense_explosiveness_diff,2022,714,-5.109482033682777e-05,-7.390063771955946e-06
single__team_form_efficiency__form_offense_explosiveness_diff,2023,787,-5.217443511362774e-05,-2.3352206662607955e-05
single__team_form_efficiency__form_offense_explosiveness_diff,2024,830,-3.292225878515076e-05,3.1737100367745796e-06
single__team_form_efficiency__form_offense_explosiveness_diff,2025,864,-7.790715539202075e-05,-3.12714546344961e-05
single__team_form_efficiency__form_defense_explosiveness_diff,2022,714,-0.000108102146808009,-5.568094286148573e-05
single__team_form_efficiency__form_defense_explosiveness_diff,2023,787,0.0003023996628048753,0.00012442491637168485
single__team_form_efficiency__form_defense_explosiveness_diff,2024,830,1.8655696685243583e-05,9.816904885967537e-06
single__team_form_efficiency__form_defense_explosiveness_diff,2025,864,-3.3488301418582722e-06,2.236729008675553e-07
family__team_form_efficiency,2022,714,-0.0003795116337814708,-0.00013835910122508843
family__team_form_efficiency,2023,787,0.00044852344845269787,0.00016615197726349562
family__team_form_efficiency,2024,830,1.5876285710092475e-05,4.446356877324531e-05
family__team_form_efficiency,2025,864,3.426296339181789e-05,2.705429687172023e-05
single__coaching_context__opening_coach_tenure_seasons_diff,2022,714,-3.230890662220265e-05,-6.794063682674656e-06
single__coaching_context__opening_coach_tenure_seasons_diff,2023,787,9.103956273970315e-05,4.524634343114342e-05
single__coaching_context__opening_coach_tenure_seasons_diff,2024,830,2.3061176395389182e-05,1.2600342117585761e-05
single__coaching_context__opening_coach_tenure_seasons_diff,2025,864,-2.8068779888146267e-05,-7.780723093347985e-06
single__coaching_context__opening_first_year_coach_diff,2022,714,0.0002492975928584107,0.00011616625236682276
single__coaching_context__opening_first_year_coach_diff,2023,787,-1.318181796383655e-05,-3.645414758945975e-08
single__coaching_context__opening_first_year_coach_diff,2024,830,-5.062302051483947e-05,-2.1313693635172104e-05
single__coaching_context__opening_first_year_coach_diff,2025,864,9.881085844754e-05,5.200727216969625e-05
family__coaching_context,2022,714,0.00020770583061391346,0.00010691616910299406
family__coaching_context,2023,787,7.917764112330694e-05,4.6513211502646756e-05
family__coaching_context,2024,830,-3.00348067343581e-05,-1.0044595233904552e-05
family__coaching_context,2025,864,7.26119030671768e-05,4.56116584846844e-05
combined,2022,714,-0.00016851975336173997,-3.062215412530378e-05
combined,2023,787,0.0005269501313100999,0.00021202648455340145
combined,2024,830,-1.2993283713291781e-05,3.473312035690013e-05
combined,2025,864,0.00010313939947104167,7.079442971935634e-05
lof__without_team_form_efficiency,2022,714,0.00020770583061391346,0.00010691616910299406
lof__without_team_form_efficiency,2023,787,7.917764112330694e-05,4.6513211502646756e-05
lof__without_team_form_efficiency,2024,830,-3.00348067343581e-05,-1.0044595233904552e-05
lof__without_team_form_efficiency,2025,864,7.26119030671768e-05,4.56116584846844e-05
lof__without_coaching_context,2022,714,-0.0003795116337814708,-0.00013835910122508843
lof__without_coaching_context,2023,787,0.00044852344845269787,0.00016615197726349562
lof__without_coaching_context,2024,830,1.5876285710092475e-05,4.446356877324531e-05
lof__without_coaching_context,2025,864,3.426296339181789e-05,2.705429687172023e-05
