variant,n,coverage,delta_log_loss,log_loss_ci_low,log_loss_ci_high,log_loss_p,delta_brier,brier_ci_low,brier_ci_high,brier_p,delta_ece,human_disposition,gate_results,eligible_for_human_review,log_loss_holm_p,log_loss_holm_reject,brier_holm_p,brier_holm_reject
single__team_form_efficiency__form_offense_ppa_diff,3195,1.0,1.690472862803105e-05,-0.0001424554185291027,0.00016886201885568078,0.8285857071464268,4.152344577346145e-06,-4.842860321529682e-05,5.42792136582238e-05,0.872063968015992,0.0005918142356113581,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,1.0,False,1.0,False
single__team_form_efficiency__form_defense_ppa_diff,3195,1.0,2.4448811294486283e-05,-4.934872434399496e-05,9.398877523813516e-05,0.5057471264367817,1.0287835097044784e-05,-1.1795972741730081e-05,3.406900222275854e-05,0.37381309345327335,-0.0013436293422792456,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,1.0,False,1.0,False
single__team_form_efficiency__form_offense_successRate_diff,3195,1.0,-2.381764565462241e-06,-0.00010377520504109005,9.554158458454352e-05,0.974512743628186,7.4237005143473755e-06,-2.9857507157037e-05,4.629737276704709e-05,0.7081459270364817,0.0032079672652261058,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": true}",False,1.0,False,1.0,False
single__team_form_efficiency__form_defense_successRate_diff,3195,1.0,1.4942764682057685e-05,-5.40602921545924e-05,9.276496218440775e-05,0.7131434282858571,6.86951353670584e-06,-1.6111681311090778e-05,3.221188764300979e-05,0.5772113943028486,-0.0009737653479802762,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,1.0,False,1.0,False
single__team_form_efficiency__form_offense_explosiveness_diff,3195,1.0,-5.389052870274913e-05,-0.00019103394363290116,7.588299230534556e-05,0.41879060469765117,-1.5035696291215706e-05,-6.835884712410937e-05,3.951381113311904e-05,0.5717141429285357,1.6458321078719612e-06,,"{""aggregate_direction"": true, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": true}",False,1.0,False,1.0,False
single__team_form_efficiency__form_defense_explosiveness_diff,3195,1.0,5.427056050477663e-05,-7.681490664477598e-05,0.00017686718552524793,0.4302848575712144,2.081611906828984e-05,-3.5111431203097015e-05,7.495679921920153e-05,0.4682658670664668,-0.0003121102577934281,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,1.0,False,1.0,False
family__team_form_efficiency,3195,1.0,3.9060145515468214e-05,-0.00017527652751353205,0.0002497692465390387,0.7136431784107946,2.8874141599577463e-05,-5.579493482824743e-05,0.00011509954996527578,0.5152423788105946,0.0023141916379766144,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,,,,
single__coaching_context__opening_coach_tenure_seasons_diff,3195,1.0,1.3605298007091093e-05,-4.86235979988342e-05,8.366184274088138e-05,0.6736631684157921,1.0796134590235207e-05,-1.4599857300014867e-05,3.730560832939932e-05,0.41529235382308843,0.0005953782011832165,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,0.6736631684157921,False,0.42478760619690153,False
single__coaching_context__opening_first_year_coach_diff,3195,1.0,6.603438661489935e-05,-6.59642408615324e-05,0.0001950387888175975,0.31984007996002,3.4478226044798443e-05,-1.9267957714076688e-05,8.858008497378068e-05,0.21239380309845077,-0.0004993967084489254,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,0.63968015992004,False,0.42478760619690153,False
family__coaching_context,3195,1.0,7.775354030759019e-05,-5.25167878684174e-05,0.0002039200968729143,0.21839080459770116,4.507527420305468e-05,-1.0896733706353135e-05,0.00010127710924384551,0.10594702648675662,0.0007990365888317363,,"{""aggregate_direction"": false, ""calibration"": true, ""ci_below_zero"": false, ""materiality"": false, ""paired_coverage"": true, ""sample_size"": true, ""season_stability"": false}",False,,,,
