season,season_type,week,n_sides,n_both_present,n_exact_match,exact_match_rate,n_within_tolerance,within_tolerance_rate,mean_abs_delta,median_abs_delta,p90_abs_delta,p95_abs_delta,max_abs_delta,n_pregame_null,pregame_null_rate,n_weekly_null,weekly_null_rate,n_pregame_only,n_weekly_only,n_name_fallback_joins
2017,postseason,1,80,0,0,,0,,,,,,,0,0.0,80,1.0,80,0,0
2017,regular,1,182,0,0,,0,,,,,,,90,0.4945054945054945,182,1.0,92,0,0
2017,regular,2,142,55,55,1.0,55,1.0,0.0,0.0,0.0,0.0,0.0,50,0.352112676056338,62,0.43661971830985913,37,25,80
2017,regular,3,130,98,98,1.0,98,1.0,0.0,0.0,0.0,0.0,0.0,28,0.2153846153846154,18,0.13846153846153847,4,14,112
2017,regular,4,118,111,111,1.0,111,1.0,0.0,0.0,0.0,0.0,0.0,6,0.05084745762711865,4,0.03389830508474576,1,3,114
2017,regular,5,108,106,106,1.0,106,1.0,0.0,0.0,0.0,0.0,0.0,2,0.018518518518518517,1,0.009259259259259259,0,1,107
2017,regular,6,116,114,114,1.0,114,1.0,0.0,0.0,0.0,0.0,0.0,2,0.017241379310344827,1,0.008620689655172414,0,1,115
2017,regular,7,118,118,118,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,118
2017,regular,8,112,112,112,1.0,112,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,112
2017,regular,9,112,110,110,1.0,110,1.0,0.0,0.0,0.0,0.0,0.0,2,0.017857142857142856,1,0.008928571428571428,0,1,111
2017,regular,10,122,122,122,1.0,122,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,122
2017,regular,11,120,118,118,1.0,118,1.0,0.0,0.0,0.0,0.0,0.0,2,0.016666666666666666,1,0.008333333333333333,0,1,119
2017,regular,12,130,120,120,1.0,120,1.0,0.0,0.0,0.0,0.0,0.0,10,0.07692307692307693,5,0.038461538461538464,0,5,125
2017,regular,13,124,124,124,1.0,124,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,124
2017,regular,14,32,32,32,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,32
2017,regular,15,2,2,2,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2
2018,postseason,1,78,0,0,,0,,,,,,,0,0.0,78,1.0,78,0,0
2018,regular,1,176,0,0,,0,,,,,,,84,0.4772727272727273,176,1.0,92,0,0
2018,regular,2,156,59,59,1.0,59,1.0,0.0,0.0,0.0,0.0,0.0,58,0.3717948717948718,69,0.4423076923076923,39,28,87
2018,regular,3,132,94,94,1.0,94,1.0,0.0,0.0,0.0,0.0,0.0,34,0.25757575757575757,21,0.1590909090909091,4,17,111
2018,regular,4,124,110,110,1.0,110,1.0,0.0,0.0,0.0,0.0,0.0,14,0.11290322580645161,7,0.056451612903225805,0,7,117
2018,regular,5,116,110,110,1.0,110,1.0,0.0,0.0,0.0,0.0,0.0,6,0.05172413793103448,3,0.02586206896551724,0,3,113
2018,regular,6,112,112,112,1.0,112,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,112
2018,regular,7,110,108,108,1.0,108,1.0,0.0,0.0,0.0,0.0,0.0,2,0.01818181818181818,1,0.00909090909090909,0,1,109
2018,regular,8,110,108,108,1.0,108,1.0,0.0,0.0,0.0,0.0,0.0,2,0.01818181818181818,1,0.00909090909090909,0,1,109
2018,regular,9,112,110,110,1.0,110,1.0,0.0,0.0,0.0,0.0,0.0,2,0.017857142857142856,1,0.008928571428571428,0,1,111
2018,regular,10,124,122,122,1.0,122,1.0,0.0,0.0,0.0,0.0,0.0,2,0.016129032258064516,1,0.008064516129032258,0,1,123
2018,regular,11,124,122,122,1.0,122,1.0,0.0,0.0,0.0,0.0,0.0,2,0.016129032258064516,1,0.008064516129032258,0,1,123
2018,regular,12,132,120,120,1.0,120,1.0,0.0,0.0,0.0,0.0,0.0,12,0.09090909090909091,6,0.045454545454545456,0,6,126
2018,regular,13,128,128,128,1.0,128,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,128
2018,regular,14,32,28,28,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,4,0.125,2,0.0625,0,2,30
2018,regular,15,2,2,2,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,2
2019,postseason,1,80,0,0,,0,,,,,,,0,0.0,80,1.0,80,0,0
2019,regular,1,170,0,0,,0,,,,,,,78,0.4588235294117647,170,1.0,92,0,0
2019,regular,2,148,60,60,1.0,60,1.0,0.0,0.0,0.0,0.0,0.0,56,0.3783783783783784,60,0.40540540540540543,32,28,88
2019,regular,3,136,89,89,1.0,89,1.0,0.0,0.0,0.0,0.0,0.0,40,0.29411764705882354,27,0.19852941176470587,7,20,109
2019,regular,4,116,98,98,1.0,98,1.0,0.0,0.0,0.0,0.0,0.0,18,0.15517241379310345,9,0.07758620689655173,0,9,107
2019,regular,5,110,102,102,1.0,102,1.0,0.0,0.0,0.0,0.0,0.0,8,0.07272727272727272,4,0.03636363636363636,0,4,106
2019,regular,6,96,96,96,1.0,96,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,96
