display_order,cfbd_game_id,away_team,home_team,provider_count,spread_home,total,away_moneyline,home_moneyline,home_implied_probability,espn_away_moneyline,espn_home_moneyline,moneyline_changed_from_espn,snapshot_at_utc,status
1,401858209,Tulane,Duke,2,-7.5,51.0,300.0,-390.5472636815918,0.7610276296655356,260.0,-325.0,True,2026-09-04T14:46:39Z,ok
2,401856777,Boston College,Cincinnati,2,-7.5,50.25,232.03007518796994,-286.70967741935476,0.7111244073753102,245.0,-305.0,True,2026-09-04T14:46:39Z,ok
3,401856636,Baylor,Auburn,2,-7.5,59.5,229.6969696969697,-283.4895833333334,0.7090689954014561,240.0,-298.0,True,2026-09-04T14:46:39Z,ok
4,401860878,Wyoming,Colorado State,2,-3.0,46.5,141.8556701030928,-166.9158878504673,0.6019813007415223,130.0,-155.0,True,2026-09-04T14:46:39Z,ok
5,401856660,Clemson,LSU,2,-10.0,50.5,320.7100591715976,-422.2748815165878,0.7728081743091398,295.0,-375.0,True,2026-09-04T14:46:39Z,ok
6,401864497,UNLV,Hawai'i,2,3.0,55.5,-148.99598393574297,126.96035242290749,0.4240699628057438,-148.0,124.0,True,2026-09-04T14:46:39Z,ok
7,401864432,Western Kentucky,Nevada,2,1.25,52.5,-126.8131868131868,106.88073394495412,0.46367396739096833,-115.0,-105.0,True,2026-09-04T14:46:39Z,ok
8,401858210,UCLA,California,2,2.5,53.5,-129.99999999999997,110.00000000000001,0.4572564612326044,-130.0,110.0,True,2026-09-04T14:46:39Z,ok
9,401856661,Louisville,Ole Miss,2,-6.75,55.25,220.0,-269.99999999999994,0.7001620745542949,220.0,-270.0,True,2026-09-04T14:46:39Z,ok
10,401858212,SMU,Florida State,2,3.0,53.25,-158.53281853281857,134.02985074626866,0.41066488181457356,-148.0,124.0,True,2026-09-04T14:46:39Z,ok
