display_order,cfbd_game_id,away_team,home_team,neutral_site,lock_at_utc,away_moneyline,home_moneyline,away_market_probability,home_market_probability,away_public_pick_pct,home_public_pick_pct,baseline_pick,baseline_pick_probability,public_disagreement,upset_candidate,recommendation_status,warning
1,401858209,Tulane,Duke,false,2026-09-05T19:30:00Z,300.0,-390.5472636815918,0.2389723703,0.7610276297,8.0,92.0,Duke,0.7610276297,-0.1589723703,false,ok,
2,401856777,Boston College,Cincinnati,false,2026-09-05T19:30:00Z,232.03007518796994,-286.70967741935476,0.2888755926,0.7111244074,5.0,95.0,Cincinnati,0.7111244074,-0.2388755926,false,ok,
3,401856636,Baylor,Auburn,true,2026-09-05T19:30:00Z,229.6969696969697,-283.4895833333334,0.2909310046,0.7090689954,8.0,92.0,Auburn,0.7090689954,-0.2109310046,false,ok,
4,401860878,Wyoming,Colorado State,false,2026-09-05T22:00:00Z,141.8556701030928,-166.9158878504673,0.3980186993,0.6019813007,22.0,78.0,Colorado State,0.6019813007,-0.1780186993,false,ok,
5,401856660,Clemson,LSU,false,2026-09-05T23:30:00Z,320.7100591715976,-422.2748815165878,0.2271918257,0.7728081743,9.0,91.0,LSU,0.7728081743,-0.1371918257,false,ok,
6,401864497,UNLV,Hawai'i,false,2026-09-06T02:00:00Z,-148.99598393574297,126.96035242290749,0.5759300372,0.4240699628,83.0,17.0,UNLV,0.5759300372,-0.2540699628,false,ok,
7,401864432,Western Kentucky,Nevada,false,2026-09-06T02:30:00Z,-126.8131868131868,106.88073394495412,0.5363260326,0.4636739674,57.0,43.0,Western Kentucky,0.5363260326,-0.0336739674,false,ok,
8,401858210,UCLA,California,false,2026-09-06T02:30:00Z,-129.99999999999997,110.00000000000001,0.5427435388,0.4572564612,79.0,21.0,UCLA,0.5427435388,-0.2472564612,false,ok,
9,401856661,Louisville,Ole Miss,true,2026-09-06T23:30:00Z,220.0,-269.99999999999994,0.2998379254,0.7001620746,6.0,94.0,Ole Miss,0.7001620746,-0.2398379254,false,ok,
10,401858212,SMU,Florida State,false,2026-09-07T23:30:00Z,-158.53281853281857,134.02985074626866,0.5893351182,0.4106648818,57.0,43.0,SMU,0.5893351182,0.0193351182,false,ok,
