display_order,cfbd_game_id,away_team,home_team,kickoff_utc,neutral_site,venue,venue_id,away_conference,home_conference,away_pregame_elo,home_pregame_elo,away_fpi,home_fpi,away_sp,home_sp,away_sp_rank,home_sp_rank,away_ap_rank,home_ap_rank,snapshot_at_utc
1,401858209,Tulane,Duke,2026-09-05T19:30:00.000Z,False,Wallace Wade Stadium,3982,American Athletic,ACC,1555,1581,2.251,3.547,-4.3,5.6,86,44,,,2026-09-04T15:10:44Z
2,401856777,Boston College,Cincinnati,2026-09-05T19:30:00.000Z,False,Nippert Stadium,3854,ACC,Big 12,1406,1480,-2.668,4.406,-2.5,3,82,59,,,2026-09-04T15:10:44Z
3,401856636,Baylor,Auburn,2026-09-05T19:30:00.000Z,True,Mercedes-Benz Stadium,5348,Big 12,SEC,1506,1613,6.518,12.007,3.8,11.5,53,26,,,2026-09-04T15:10:44Z
4,401860878,Wyoming,Colorado State,2026-09-05T22:00:00.000Z,False,Canvas Stadium,5388,Mountain West,Pac-12,1363,1273,-13.069,-12.364,-10.8,-11.6,103,105,,,2026-09-04T15:10:44Z
5,401856660,Clemson,LSU,2026-09-05T23:30:00.000Z,False,Tiger Stadium (LA),3958,ACC,SEC,1670,1616,13.421,20.034,13.1,20.4,23,10,,11,2026-09-04T15:10:44Z
6,401864497,UNLV,Hawai'i,2026-09-06T02:00:00.000Z,False,Clarence T.C. Ching Athletics Complex,7220,Mountain West,Mountain West,1566,1454,-0.382,-4.027,3.6,-2.6,55,83,,,2026-09-04T15:10:44Z
7,401864432,Western Kentucky,Nevada,2026-09-06T02:30:00.000Z,False,Mackay Stadium,3816,Conference USA,Mountain West,1438,1351,-4.859,-11.931,-7.3,-11.7,94,108,,,2026-09-04T15:10:44Z
8,401858210,UCLA,California,2026-09-06T02:30:00.000Z,False,California Memorial Stadium,3831,Big Ten,ACC,1381,1406,0.472,0.884,5.4,3,46,59,,,2026-09-04T15:10:44Z
9,401856661,Louisville,Ole Miss,2026-09-06T23:30:00.000Z,True,Nissan Stadium,3810,ACC,SEC,1666,1839,9.454,16.029,11.1,16.5,27,16,24,9,2026-09-04T15:10:44Z
10,401858212,SMU,Florida State,2026-09-07T23:30:00.000Z,False,Doak Campbell Stadium,3697,ACC,ACC,1734,1559,11.117,7.969,12.1,9.1,25,35,19,,2026-09-04T15:10:44Z
